Date,Description,Amount,Type
2024-01-05,Salary Credit,45000,Income
2024-01-07,Swiggy Food Order,-450,Food
2024-01-08,Reliance Fresh Grocery,-1200,Groceries
2024-01-10,Netflix Subscription,-649,Entertainment
2024-01-12,Ola Cab,-180,Transport
2024-01-14,House Rent,-12000,Rent
2024-01-15,Electricity Bill,-850,Utilities
2024-01-17,Zomato Order,-320,Food
2024-01-19,Big Bazaar Shopping,-2100,Shopping
2024-01-21,Medical Pharmacy,-560,Health
2024-01-23,Petrol Pump,-1500,Transport
2024-01-25,Freelance Payment,8000,Income
2024-01-27,Amazon Shopping,-1800,Shopping
2024-01-29,Gym Membership,-999,Health
2024-01-31,Mobile Recharge,-299,Utilities
2024-02-05,Salary Credit,45000,Income
2024-02-06,Dominos Pizza,-540,Food
2024-02-08,D-Mart Grocery,-1450,Groceries
2024-02-10,Spotify Premium,-119,Entertainment
2024-02-12,Metro Card Recharge,-500,Transport
2024-02-14,House Rent,-12000,Rent
2024-02-16,Water Bill,-350,Utilities
2024-02-18,Restaurant Dinner,-1200,Food
2024-02-20,Myntra Clothes,-2500,Shopping
2024-02-22,Doctor Consultation,-800,Health
2024-02-24,Auto Rickshaw,-220,Transport
2024-02-26,YouTube Premium,-189,Entertainment
2024-02-28,Internet Bill,-999,Utilities
2024-03-05,Salary Credit,45000,Income
2024-03-07,Freelance Payment,12000,Income
2024-03-08,KFC Order,-380,Food
2024-03-10,Reliance Fresh,-1300,Groceries
2024-03-12,House Rent,-12000,Rent
2024-03-14,Electricity Bill,-920,Utilities
2024-03-15,Uber Cab,-250,Transport
2024-03-17,Movie Tickets,-600,Entertainment
2024-03-19,Westside Shopping,-3200,Shopping
2024-03-21,Chemist Medicines,-450,Health
2024-03-23,Petrol Pump,-1600,Transport
2024-03-25,Book Purchase,-800,Education
2024-03-27,Online Course,-2999,Education
2024-03-29,Swiggy Order,-410,Food
2024-04-05,Salary Credit,45000,Income
2024-04-07,Pizza Hut,-480,Food
2024-04-09,Big Basket Grocery,-1650,Groceries
2024-04-11,Amazon Prime,-1499,Entertainment
2024-04-13,House Rent,-12000,Rent
2024-04-14,Rapido Bike,-120,Transport
2024-04-16,Gas Cylinder,-950,Utilities
2024-04-18,Zomato Order,-290,Food
2024-04-20,Flipkart Shopping,-4500,Shopping
2024-04-22,Gym Membership,-999,Health
2024-04-24,Auto Rickshaw,-180,Transport
2024-04-26,Bonus Income,5000,Income
2024-04-28,Mobile Bill,-499,Utilities
2024-04-30,Dentist Visit,-1200,Health